Part_ID,Label,Description,Part_type,Value_set_part_ID,Member_of_set_part_ID,Ancestor_part_ID,SQL_data_type,Is_required,Default_value,Sort_order,Parts_present,comments_present,contact_present,equipment_present,equipment_model_present,equipment_model_has_Parameter_present,equipment_model_has_procedures_present,hydrological_characteristics_present,metadata_present,parameter_present,parameter_has_procedures_present,procedures_present,project_present,project_has_contact_present,project_has_equipment_present,project_has_sampling_points_present,purpose_present,sampling_points_present,site_present,unit_present,urban_characteristics_present,value_present,watershed_present,weather_condition_present,Parts_required,Parts_order,comments_required,comments_order,contact_required,contact_order,equipment_required,equipment_order,equipment_model_required,equipment_model_order,equipment_model_has_Parameter_required,equipment_model_has_Parameter_order,equipment_model_has_procedures_required,equipment_model_has_procedures_order,hydrological_characteristics_required,hydrological_characteristics_order,metadata_required,metadata_order,parameter_required,parameter_order,parameter_has_procedures_required,parameter_has_procedures_order,procedures_required,procedures_order,project_required,project_order,project_has_contact_required,project_has_contact_order,project_has_equipment_required,project_has_equipment_order,project_has_sampling_points_required,project_has_sampling_points_order,purpose_required,purpose_order,sampling_points_required,sampling_points_order,site_required,site_order,unit_required,unit_order,urban_characteristics_required,urban_characteristics_order,value_required,value_order,watershed_required,watershed_order,weather_condition_required,weather_condition_order
Parts,Parts,Metadata table defining all components of the database model,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part_ID,Part ID,Unique identifier for each part in the data model,key,,,,nvarchar(255),True,,1,key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Label,Human-readable label for the part,property,,,,nvarchar(255),True,,2,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Description,Detailed description of what the part represents,property,,,,ntext,True,,3,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part_type,Part Type,Classification of the database component,property,,,,nvarchar(50),True,,4,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value_set_part_ID,Value Set Part ID,Which value set constrains this property,property,,,,nvarchar(255),False,,5,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member_of_set_part_ID,Member Of Set Part ID,Which value set this part is a member of,property,,,,nvarchar(255),False,,6,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancestor_part_ID,Ancestor Part ID,"For parentKey type, the Part_ID of the ancestor being referenced",property,,,,nvarchar(255),False,,7,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQL_data_type,SQL Data Type,SQL data type of the column,property,,,,nvarchar(100),False,,8,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is_required,Is Required,Whether this field is mandatory,property,,,,bit,False,,9,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_value,Default Value,Default value for the field,property,,,,ntext,False,,10,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort_order,Sort Order,Display order for documentation and UI,property,,,,int,False,,11,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments_present,Comments Present,Indicates whether and how a field appears in the comments table,property,,,,nvarchar(50),False,,11,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments_required,Comments Required,Whether this part is required in the comments table,property,,,,bit,False,,12,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments_order,Comments Order,Display order of this part in the comments table,property,,,,int,False,,13,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact_present,Contact Present,Indicates whether and how a field appears in the contact table,property,,,,nvarchar(50),False,,14,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact_required,Contact Required,Whether this part is required in the contact table,property,,,,bit,False,,15,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact_order,Contact Order,Display order of this part in the contact table,property,,,,int,False,,16,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_present,Equipment Present,Indicates whether and how a field appears in the equipment table,property,,,,nvarchar(50),False,,17,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_required,Equipment Required,Whether this part is required in the equipment table,property,,,,bit,False,,18,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_order,Equipment Order,Display order of this part in the equipment table,property,,,,int,False,,19,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_present,Equipment Model Present,Indicates whether and how a field appears in the equipment_model table,property,,,,nvarchar(50),False,,20,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_required,Equipment Model Required,Whether this part is required in the equipment_model table,property,,,,bit,False,,21,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_order,Equipment Model Order,Display order of this part in the equipment_model table,property,,,,int,False,,22,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_has_Parameter_present,Equipment Model Has Parameter Present,Indicates whether and how a field appears in the equipment_model_has_Parameter table,property,,,,nvarchar(50),False,,23,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_has_Parameter_required,Equipment Model Has Parameter Required,Whether this part is required in the equipment_model_has_Parameter table,property,,,,bit,False,,24,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_has_Parameter_order,Equipment Model Has Parameter Order,Display order of this part in the equipment_model_has_Parameter table,property,,,,int,False,,25,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_has_procedures_present,Equipment Model Has Procedures Present,Indicates whether and how a field appears in the equipment_model_has_procedures table,property,,,,nvarchar(50),False,,26,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_has_procedures_required,Equipment Model Has Procedures Required,Whether this part is required in the equipment_model_has_procedures table,property,,,,bit,False,,27,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_has_procedures_order,Equipment Model Has Procedures Order,Display order of this part in the equipment_model_has_procedures table,property,,,,int,False,,28,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrological_characteristics_present,Hydrological Characteristics Present,Indicates whether and how a field appears in the hydrological_characteristics table,property,,,,nvarchar(50),False,,29,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrological_characteristics_required,Hydrological Characteristics Required,Whether this part is required in the hydrological_characteristics table,property,,,,bit,False,,30,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrological_characteristics_order,Hydrological Characteristics Order,Display order of this part in the hydrological_characteristics table,property,,,,int,False,,31,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata_present,Metadata Present,Indicates whether and how a field appears in the metadata table,property,,,,nvarchar(50),False,,32,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata_required,Metadata Required,Whether this part is required in the metadata table,property,,,,bit,False,,33,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
